OBJECTID,Shape_Leng,zone,borough
1,0.116357453,Newark Airport,EWR
2,0.433469667,,
3,0.084341106,Allerton/Pelham Gardens,Bronx
4,0.043566527,Alphabet City,Manhattan
5,0.09214649,Arden Heights,Staten Island
6,0.150490543,Arrochar/Fort Wadsworth,Staten Island
7,0.107417171,Astoria,Queens
8,0.027590691,Astoria Park,Queens
9,0.099784092,Auburndale,Queens
24,0.046999962,Bloomingdale,Manhattan
10,0.099839479,Baisley Park,Queens
11,0.079211039,Bath Beach,Brooklyn
12,0.036661301,Battery Park,Manhattan
13,0.050281323,Battery Park City,Manhattan
18,0.06979955,Bedford Park,Bronx
25,0.04714582,Boerum Hill,Brooklyn
14,0.175213698,Bay Ridge,Brooklyn
15,0.144336223,Bay Terrace/Fort Totten,Queens
22,0.126170229,Bensonhurst West,Brooklyn
23,0.290556029,,
16,0.141291874,Bayside,Queens
17,0.093522633,Bedford,Brooklyn
19,0.101824875,Bellerose,Queens
20,0.051440192,Belmont,Bronx
21,0.115973569,Bensonhurst East,Brooklyn
26,0.123547807,Borough Park,Brooklyn
27,0.202508809,,
28,0.097960782,Briarwood/Jamaica Hills,Queens
33,0.053270293,Brooklyn Heights,Brooklyn
29,0.071408313,Brighton Beach,Brooklyn
31,0.096424567,Bronx Park,Bronx
32,0.054267216,Bronxdale,Bronx
30,0.094509767,Broad Channel,Queens
34,0.065705932,Brooklyn Navy Yard,Brooklyn
35,0.085787919,Brownsville,Brooklyn
36,0.087050787,Bushwick North,Brooklyn
37,0.14281004,Bushwick South,Brooklyn
38,0.083217569,Cambria Heights,Queens
39,0.132369621,Canarsie,Brooklyn
40,0.051850665,Carroll Gardens,Brooklyn
41,0.052793109,Central Harlem,Manhattan
45,0.045906863,Chinatown,Manhattan
46,0.13447543,,
42,0.092709227,Central Harlem North,Manhattan
43,0.099738618,Central Park,Manhattan
44,0.235688968,,
47,0.089827556,Claremont/Bathgate,Bronx
48,0.043746744,Clinton East,Manhattan
49,0.075290018,Clinton Hill,Brooklyn
50,0.055747987,Clinton West,Manhattan
51,0.095361344,Co-Op City,Bronx
52,0.028907671,Cobble Hill,Brooklyn
53,0.161500913,,
54,0.076219245,Columbia Street,Brooklyn
55,0.149956808,Coney Island,Brooklyn
56,0.056847813,Corona,Queens
57,0.019270505,Corona,Queens
58,0.059855409,,
59,0.037794807,Crotona Park,Bronx
60,0.078648288,Crotona Park East,Bronx
61,0.117310808,Crown Heights North,Brooklyn
62,0.082259336,Crown Heights South,Brooklyn
63,0.119100722,Cypress Hills,Brooklyn
64,0.184451885,,
65,0.044607068,Downtown Brooklyn/MetroTech,Brooklyn
72,0.09520207,East Flatbush/Remsen Village,Brooklyn
66,0.054633459,DUMBO/Vinegar Hill,Brooklyn
67,0.099747078,Dyker Heights,Brooklyn
68,0.04933738,East Chelsea,Manhattan
73,0.085302021,East Flushing,Queens
69,0.078989645,East Concourse/Concourse Village,Bronx
70,0.063840318,East Elmhurst,Queens
71,0.093169455,East Flatbush/Farragut,Brooklyn
79,0.042624911,East Village,Manhattan
80,0.117212621,East Williamsburg,Brooklyn
74,0.110290936,East Harlem North,Manhattan
85,0.057475147,Erasmus,Brooklyn
86,0.134245283,,
75,0.0876639,East Harlem South,Manhattan
77,0.075461081,East New York/Pennsylvania Avenue,Brooklyn
78,0.09359445,East Tremont,Bronx
81,0.197592772,Eastchester,Bronx
87,0.03690155,Financial District North,Manhattan
82,0.11987565,Elmhurst,Queens
83,0.105984933,Elmhurst/Maspeth,Queens
84,0.233623987,Eltingville/Annadale/Prince's Bay,Staten Island
88,0.035204604,Financial District South,Manhattan
89,0.12279457,Flatbush/Ditmas Park,Brooklyn
90,0.030759162,Flatiron,Manhattan
125,0.049732212,Hudson Sq,Manhattan
91,0.124996625,Flatlands,Brooklyn
92,0.117830067,Flushing,Queens
93,0.170998028,Flushing Meadows-Corona Park,Queens
94,0.049832608,Fordham South,Bronx
95,0.113629605,Forest Hills,Queens
96,0.185180248,Forest Park/Highland Park,Queens
97,0.062476015,Fort Greene,Brooklyn
98,0.121661018,Fresh Meadows,Queens
99,0.183371489,,
100,0.024813109,Garment District,Manhattan
101,0.101709836,Glen Oaks,Queens
102,0.136900485,Glendale,Queens
103,0.014305517,Governor's Island/Ellis Island/Liberty Island,Manhattan
104,0.021220833,Governor's Island/Ellis Island/Liberty Island,Manhattan
105,0.07742534,Governor's Island/Ellis Island/Liberty Island,Manhattan
106,0.049211012,Gowanus,Brooklyn
107,0.038041365,Gramercy,Manhattan
108,0.111171412,Gravesend,Brooklyn
109,0.17826782,,
110,0.103946293,Great Kills Park,Staten Island
111,0.05993088,Green-Wood Cemetery,Brooklyn
112,0.107267876,Greenpoint,Brooklyn
113,0.032745351,Greenwich Village North,Manhattan
114,0.031727035,Greenwich Village South,Manhattan
115,0.116169414,Grymes Hill/Clifton,Staten Island
116,0.068116484,Hamilton Heights,Manhattan
117,0.169885858,,
118,0.243966218,Heartland Village/Todt Hill,Staten Island
119,0.083507036,Highbridge,Bronx
120,0.08326127,Highbridge Park,Manhattan
149,0.083680582,Madison,Brooklyn
150,0.089331491,Manhattan Beach,Brooklyn
121,0.096915337,Hillcrest/Pomonok,Queens
122,0.066531844,Hollis,Queens
123,0.083421139,Homecrest,Brooklyn
124,0.12772441,,
126,0.129948726,Hunts Point,Bronx
127,0.060018886,,
128,0.070209029,Inwood Hill Park,Manhattan
129,0.093272727,Jackson Heights,Queens
134,0.069587822,Kew Gardens,Queens
151,0.054889941,Manhattan Valley,Manhattan
130,0.142028321,Jamaica,Queens
139,0.093299788,Laurelton,Queens
131,0.116547121,Jamaica Estates,Queens
132,0.245478517,,
133,0.065134863,Kensington,Brooklyn
140,0.047584291,Lenox Hill East,Manhattan
135,0.121793046,Kew Gardens Hills,Queens
136,0.090628715,Kingsbridge Heights,Bronx
137,0.046107624,Kips Bay,Manhattan
141,0.041514464,Lenox Hill West,Manhattan
142,0.038175894,Lincoln Square East,Manhattan
152,0.057909477,Manhattanville,Manhattan
138,0.107466934,LaGuardia Airport,Queens
143,0.054179854,Lincoln Square West,Manhattan
144,0.027620167,Little Italy/NoLiTa,Manhattan
145,0.114313845,Long Island City/Hunters Point,Queens
146,0.047140522,Long Island City/Queens Plaza,Queens
147,0.058765495,Longwood,Bronx
148,0.039130502,Lower East Side,Manhattan
153,0.024737239,Marble Hill,Manhattan
154,0.227331571,,
155,0.169808473,,
156,0.14447689,,
159,0.064363233,Melrose South,Bronx
157,0.131300218,Maspeth,Queens
158,0.054809991,Meatpacking/West Village West,Manhattan
160,0.141519143,Middle Village,Queens
161,0.03580391,Midtown Center,Manhattan
162,0.035269815,Midtown East,Manhattan
163,0.034176867,Midtown North,Manhattan
164,0.035771612,Midtown South,Manhattan
170,0.045769009,Murray Hill,Manhattan
165,0.088608036,Midwood,Brooklyn
166,0.068823754,Morningside Heights,Manhattan
167,0.090815974,Morrisania/Melrose,Bronx
178,0.068252877,Ocean Parkway South,Brooklyn
168,0.114517434,Mott Haven/Port Morris,Bronx
169,0.060104658,Mount Hope,Bronx
171,0.107353876,Murray Hill-Queens,Queens
172,0.118476116,New Dorp/Midland Beach,Staten Island
173,0.060063966,North Corona,Queens
174,0.067817756,Norwood,Bronx
175,0.134897665,Oakland Gardens,Queens
179,0.071380864,Old Astoria,Queens
176,0.151995191,Oakwood,Staten Island
177,0.071580541,Ocean Hill,Brooklyn
180,0.080527767,Ozone Park,Queens
181,0.08953724,Park Slope,Brooklyn
182,0.039360637,Parkchester,Bronx
183,0.039826296,Pelham Bay,Bronx
184,0.260815683,,
185,0.086161968,Pelham Parkway,Bronx
186,0.02469639,Penn Station/Madison Sq West,Manhattan
189,0.048674331,Prospect Heights,Brooklyn
190,0.074329466,Prospect Park,Brooklyn
187,0.126868431,Port Richmond,Staten Island
188,0.097798397,Prospect-Lefferts Gardens,Brooklyn
191,0.130932638,Queens Village,Queens
192,0.11196462,Queensboro Hill,Queens
193,0.065529958,Queensbridge/Ravenswood,Queens
194,0.081793835,Randalls Island,Manhattan
196,0.083242111,Rego Park,Queens
195,0.131308244,Red Hook,Brooklyn
203,0.189937816,,
197,0.108568532,Richmond Hill,Queens
198,0.134094243,Ridgewood,Queens
199,0.077808501,Rikers Island,Bronx
212,0.067129065,Soundview/Bruckner,Bronx
213,0.159958784,Soundview/Castle Hill,Bronx
200,0.112661735,Riverdale/North Riverdale/Fieldston,Bronx
204,0.101912418,Rossville/Woodrow,Staten Island
201,0.130404118,Rockaway Park,Queens
202,0.069921571,Roosevelt Island,Manhattan
205,0.141953388,Saint Albans,Queens
206,0.212756793,Saint George/New Brighton,Staten Island
207,0.028375683,Saint Michaels Cemetery/Woodside,Queens
208,0.21472101,,
209,0.030695311,Seaport,Manhattan
210,0.114851983,,
211,0.025234508,SoHo,Manhattan
214,0.135300314,South Beach/Dongan Hills,Staten Island
215,0.103556454,South Jamaica,Queens
216,0.116797555,South Ozone Park,Queens
217,0.055390525,South Williamsburg,Brooklyn
218,0.083700828,Springfield Gardens North,Queens
219,0.15512667,Springfield Gardens South,Queens
225,0.088799207,Stuyvesant Heights,Brooklyn
220,0.106015943,Spuyten Duyvil/Kingsbridge,Bronx
224,0.044020446,Stuy Town/Peter Cooper Village,Manhattan
226,0.168957762,,
221,0.166218221,Stapleton,Staten Island
222,0.048389353,Starrett City,Brooklyn
223,0.166021925,,
227,0.082830157,Sunset Park East,Brooklyn
228,0.177685178,Sunset Park West,Brooklyn
229,0.04252529,Sutton Place/Turtle Bay North,Manhattan
230,0.03102831,Times Sq/Theatre District,Manhattan
231,0.063420117,TriBeCa/Civic Center,Manhattan
239,0.063626115,Upper West Side South,Manhattan
232,0.061470909,Two Bridges/Seward Park,Manhattan
233,0.048035918,UN/Turtle Bay South,Manhattan
234,0.036072199,Union Sq,Manhattan
235,0.076166843,University Heights/Morris Heights,Bronx
236,0.044251922,Upper East Side North,Manhattan
237,0.0422126,Upper East Side South,Manhattan
238,0.060109311,Upper West Side North,Manhattan
240,0.146069764,Van Cortlandt Park,Bronx
241,0.068764578,Van Cortlandt Village,Bronx
258,0.089013379,Woodhaven,Queens
242,0.138136446,Van Nest/Morris Park,Bronx
245,0.09598306,West Brighton,Staten Island
263,0.037016625,Yorkville West,Manhattan
243,0.0943315,Washington Heights North,Manhattan
244,0.080568604,Washington Heights South,Manhattan
253,0.0360515,Willets Point,Queens
246,0.069467194,West Chelsea/Hudson Yards,Manhattan
247,0.092967858,West Concourse,Bronx
248,0.056919117,West Farms/Bronx River,Bronx
249,0.036384344,West Village,Manhattan
257,0.058669026,Windsor Terrace,Brooklyn
250,0.079626347,Westchester Village/Unionport,Bronx
251,0.137711161,Westerleigh,Staten Island
252,0.158004374,,
254,0.085886375,Williamsbridge/Olinville,Bronx
255,0.0623842,Williamsburg (North Side),Brooklyn
256,0.067914967,Williamsburg (South Side),Brooklyn
259,0.126750305,Woodlawn/Wakefield,Bronx
260,0.133514155,Woodside,Queens
261,0.027120456,World Trade Center,Manhattan
262,0.049063623,Yorkville East,Manhattan
